Date,Ticker,Quantity,Entry Price ($),Exit Price ($),Commission ($),Profit/Loss ($)
2023-07-21,AMD,282,267.76,260.26,5.0,-2120.0
2023-06-11,DIA,120,293.1,288.37,5.0,-572.6
2023-02-17,AAPL,108,81.21,91.06,5.0,1058.8
2023-09-07,XLU,361,390.88,395.81,5.0,1774.73
2023-03-31,GOOGL,60,393.68,391.26,5.0,-150.2
2023-02-10,XLE,344,122.96,127.31,5.0,1491.4
2023-06-26,IWM,62,303.48,309.14,5.0,345.92
2023-02-06,FB,350,327.27,329.11,5.0,639.0
2023-01-01,SPY,393,373.93,381.75,5.0,3068.26
2023-01-13,SPY,180,123.96,117.2,5.0,-1221.8
2023-05-25,AAPL,237,396.25,398.49,5.0,525.88
2023-01-26,FB,134,266.2,271.94,5.0,764.16
2023-04-18,XLU,279,27.76,31.5,5.0,1038.46
2023-09-08,AMZN,459,145.29,138.74,5.0,-3011.45
2023-03-29,SPY,282,12.41,19.13,5.0,1890.04
2023-01-23,NVDA,193,334.18,338.9,5.0,905.96
2023-04-30,AMZN,244,401.89,403.26,5.0,329.28
2023-08-03,XLV,461,464.73,459.12,5.0,-2591.21
2023-01-23,FB,98,141.01,144.84,5.0,370.34
2023-12-18,INTC,13,354.63,348.03,5.0,-90.8
2023-04-19,FB,269,49.89,41.87,5.0,-2162.38
2023-07-24,TSM,121,315.84,313.43,5.0,-296.61
2023-09-04,GOOGL,369,249.86,243.7,5.0,-2278.04
2023-02-06,NVDA,332,114.26,113.17,5.0,-366.88
2023-05-29,TSLA,281,136.94,144.44,5.0,2102.5
2023-07-28,DIA,278,140.85,143.57,5.0,751.16
2023-05-30,TSLA,110,129.43,130.9,5.0,156.7
2023-01-23,BABA,215,254.22,259.96,5.0,1229.1
2023-01-05,AMD,31,172.22,169.79,5.0,-80.33
2023-01-13,XLI,420,307.07,310.4,5.0,1393.6
2023-09-11,DIA,86,64.55,71.82,5.0,620.22
2023-09-06,DIA,470,206.25,206.66,5.0,187.7
2023-05-13,XLU,287,418.92,417.14,5.0,-515.86
2023-10-11,SPY,181,25.04,16.55,5.0,-1541.69
2023-02-14,XLE,202,414.63,412.9,5.0,-354.46
2023-04-22,INTC,219,118.21,113.4,5.0,-1058.39
2023-03-02,XLU,353,124.61,126.34,5.0,605.69
2023-07-19,BABA,277,456.88,447.05,5.0,-2727.91
2023-01-12,INTC,488,420.7,422.66,5.0,951.48
2023-01-04,TSM,238,455.3,452.26,5.0,-728.52
2023-10-29,XLF,262,130.59,131.49,5.0,230.8
2023-06-29,BABA,203,237.04,234.6,5.0,-500.32
